ANIO;MES;URL
2016;Diciembre;http://datos.madrid.es/egob/catalogo/210104-122-multas-circulacion-detalle.csv
2016;Noviembre;http://datos.madrid.es/egob/catalogo/210104-120-multas-circulacion-detalle.csv
2016;Octubre;http://datos.madrid.es/egob/catalogo/210104-118-multas-circulacion-detalle.csv
2016;Septiembre;http://datos.madrid.es/egob/catalogo/210104-114-multas-circulacion-detalle.csv
2016;Agosto;http://datos.madrid.es/egob/catalogo/210104-110-multas-circulacion-detalle.csv
2016;Julio;http://datos.madrid.es/egob/catalogo/210104-106-multas-circulacion-detalle.csv
2016;Junio;http://datos.madrid.es/egob/catalogo/210104-102-multas-circulacion-detalle.csv
2016;Mayo;http://datos.madrid.es/egob/catalogo/210104-98-multas-circulacion-detalle.csv
2016;Abril;http://datos.madrid.es/egob/catalogo/210104-134-multas-circulacion-detalle.csv
2016;Marzo;http://datos.madrid.es/egob/catalogo/210104-130-multas-circulacion-detalle.csv
2016;Febrero;http://datos.madrid.es/egob/catalogo/210104-86-multas-circulacion-detalle.csv
2016;Enero;http://datos.madrid.es/egob/catalogo/210104-82-multas-circulacion-detalle.csv
2015;Diciembre;http://datos.madrid.es/egob/catalogo/210104-74-multas-circulacion-detalle.csv
2015;Noviembre;http://datos.madrid.es/egob/catalogo/210104-70-multas-circulacion-detalle.csv
2015;Octubre;http://datos.madrid.es/egob/catalogo/210104-66-multas-circulacion-detalle.csv
2015;Septiembre;http://datos.madrid.es/egob/catalogo/210104-62-multas-circulacion-detalle.csv
2015;Agosto;http://datos.madrid.es/egob/catalogo/210104-58-multas-circulacion-detalle.csv
2015;Julio;http://datos.madrid.es/egob/catalogo/210104-54-multas-circulacion-detalle.csv
2015;Junio;http://datos.madrid.es/egob/catalogo/210104-50-multas-circulacion-detalle.csv
2015;Mayo;http://datos.madrid.es/egob/catalogo/210104-46-multas-circulacion-detalle.csv
2015;Abril;http://datos.madrid.es/egob/catalogo/210104-42-multas-circulacion-detalle.csv
2015;Marzo;http://datos.madrid.es/egob/catalogo/210104-78-multas-circulacion-detalle.csv
2015;Febrero;http://datos.madrid.es/egob/catalogo/210104-34-multas-circulacion-detalle.csv
2015;Enero;http://datos.madrid.es/egob/catalogo/210104-30-multas-circulacion-detalle.csv
2014;Diciembre-Noviembre;http://datos.madrid.es/egob/catalogo/210104-26-multas-circulacion-detalle.csv
2014;Octubre-Septiembre;http://datos.madrid.es/egob/catalogo/210104-22-multas-circulacion-detalle.csv
